state,total_agencies,population,reporting_agencies,number_of_incidences,year,incidences_per_100K,lat,lon
Alaska,1,260900,1,4,2000,1.53,64.0685,-152.2782
Arizona,88,4606625,22,240,2000,5.21,34.2744,-111.6602
Arkansas,4,77190,3,3,2000,3.89,34.8938,-92.4426
California,722,33869172,259,1943,2000,5.74,37.1841,-119.4696
Colorado,234,4300597,34,101,2000,2.35,38.9972,-105.5478
Connecticut,97,3316062,58,151,2000,4.55,41.6219,-72.7273
Delaware,52,783600,9,34,2000,4.34,38.9896,-75.505
District of Columbia,1,572059,1,5,2000,0.87,38.9101,-77.0147
Florida,491,15955498,107,240,2000,1.5,28.6305,-82.4497
Georgia,80,1077028,4,35,2000,3.25,32.6415,-83.4426
Idaho,118,1278863,26,45,2000,3.52,44.3509,-114.613
Illinois,46,4463308,45,183,2000,4.1,40.0417,-89.1965
Indiana,166,4415055,31,106,2000,2.4,39.8942,-86.2816
Iowa,220,2809355,15,33,2000,1.17,42.0751,-93.496
Kansas,1,339907,1,42,2000,12.36,38.4937,-98.3804
Kentucky,317,3351405,38,73,2000,2.18,37.5347,-85.3021
Louisiana,174,3827857,8,12,2000,0.31,31.0689,-91.9968
Maine,181,1273365,9,28,2000,2.2,45.3695,-69.2428
Maryland,146,5294196,33,217,2000,4.1,39.055,-76.7909
Massachusetts,341,6282763,97,458,2000,7.29,42.2596,-71.8083
Michigan,620,9818683,156,425,2000,4.33,44.3467,-85.4102
Minnesota,313,4917158,55,169,2000,3.44,46.2807,-94.3053
Mississippi,78,1219754,1,2,2000,0.16,32.7364,-89.6678
Missouri,186,3843304,26,70,2000,1.82,38.3566,-92.458
Montana,102,902195,8,19,2000,2.11,47.0527,-109.6333
Nebraska,202,1360827,6,17,2000,1.25,41.5378,-99.7951
Nevada,37,1998257,8,85,2000,4.25,39.3289,-116.6312
New Hampshire,110,678452,20,32,2000,4.72,43.6805,-71.5811
New Jersey,564,8414350,241,652,2000,7.75,40.1907,-74.6728
New Mexico,43,1076413,3,15,2000,1.39,34.4071,-106.1126
New York,539,18973360,36,608,2000,3.2,42.9538,-75.5268
North Carolina,205,4485728,14,31,2000,0.69,35.5557,-79.3877
North Dakota,80,580299,5,5,2000,0.86,47.4501,-100.4659
Ohio,348,7469352,49,240,2000,3.21,40.2862,-82.7937
Oklahoma,301,3448945,24,80,2000,2.32,35.5889,-97.4943
Oregon,171,3411457,29,142,2000,4.16,43.9336,-120.5583
Pennsylvania,933,11464718,32,141,2000,1.23,40.8781,-77.7996
Rhode Island,48,1048319,10,48,2000,4.58,41.6762,-71.5562
South Carolina,352,4009034,17,33,2000,0.82,33.9169,-80.8964
South Dakota,121,754844,4,7,2000,0.93,44.4443,-100.2263
Tennessee,422,5685152,72,230,2000,4.05,35.85800000000001,-86.3505
Texas,942,20613237,72,286,2000,1.39,31.4757,-99.3312
Utah,127,2233169,28,71,2000,3.18,39.3055,-111.6703
Vermont,43,507533,14,19,2000,3.74,44.0687,-72.6658
Virginia,384,6981101,59,325,2000,4.66,37.5215,-78.8537
Washington,236,5352495,57,242,2000,4.52,47.3826,-120.4472
West Virginia,268,1669624,21,60,2000,3.59,38.6409,-80.6227
Wisconsin,368,5363675,22,47,2000,0.88,44.6243,-89.9941
Wyoming,67,493272,2,9,2000,1.82,42.9957,-107.5512
Alabama,5,268224,0,0,2001,0.0,32.7794,-86.8287
Alaska,1,263588,1,20,2001,7.59,64.0685,-152.2782
Arizona,97,4956803,26,384,2001,7.75,34.2744,-111.6602
Arkansas,3,81509,2,3,2001,3.68,34.8938,-92.4426
California,725,34501130,273,2246,2001,6.51,37.1841,-119.4696
Colorado,202,4330662,34,126,2001,2.91,38.9972,-105.5478
Connecticut,98,3362043,64,169,2001,5.03,41.6219,-72.7273
Delaware,51,794595,8,17,2001,2.14,38.9896,-75.505
District of Columbia,2,571822,2,11,2001,1.92,38.9101,-77.0147
Florida,491,16360995,100,302,2001,1.85,28.6305,-82.4497
Georgia,86,1181401,11,39,2001,3.3,32.6415,-83.4426
Idaho,114,1305535,17,34,2001,2.6,44.3509,-114.613
Illinois,72,4812226,63,282,2001,5.86,40.0417,-89.1965
Indiana,143,3044860,28,74,2001,2.43,39.8942,-86.2816
Iowa,223,2850263,17,32,2001,1.12,42.0751,-93.496
Kansas,344,2299859,12,71,2001,3.09,38.4937,-98.3804
Kentucky,336,3475327,42,82,2001,2.36,37.5347,-85.3021
Louisiana,168,3881451,5,10,2001,0.26,31.0689,-91.9968
Maine,182,1284775,10,32,2001,2.49,45.3695,-69.2428
Maryland,148,5375156,29,231,2001,4.3,39.055,-76.7909
Massachusetts,338,5998889,122,584,2001,9.74,42.2596,-71.8083
Michigan,621,9887717,165,442,2001,4.47,44.3467,-85.4102
Minnesota,295,4951275,61,210,2001,4.24,46.2807,-94.3053
Mississippi,72,942337,3,3,2001,0.32,32.7364,-89.6678
Missouri,85,2336942,20,65,2001,2.78,38.3566,-92.458
Montana,102,902277,7,13,2001,1.44,47.0527,-109.6333
Nebraska,198,1284466,15,53,2001,4.13,41.5378,-99.7951
Nevada,36,2106074,8,94,2001,4.46,39.3289,-116.6312
New Hampshire,108,654953,16,27,2001,4.12,43.6805,-71.5811
New Jersey,561,8484431,253,767,2001,9.04,40.1907,-74.6728
New Mexico,54,1153948,4,20,2001,1.73,34.4071,-106.1126
New York,568,19008440,63,712,2001,3.75,42.9538,-75.5268
North Carolina,449,8109373,41,85,2001,1.05,35.5557,-79.3877
North Dakota,73,563213,10,17,2001,3.02,47.4501,-100.4659
Ohio,363,7602785,71,363,2001,4.77,40.2862,-82.7937
Oklahoma,298,3459483,22,46,2001,1.33,35.5889,-97.4943
Oregon,174,3460951,28,222,2001,6.41,43.9336,-120.5583
Pennsylvania,770,10395227,42,132,2001,1.27,40.8781,-77.7996
Rhode Island,48,1058920,9,63,2001,5.95,41.6762,-71.5562
South Carolina,340,4058727,20,41,2001,1.01,33.9169,-80.8964
South Dakota,113,685419,5,5,2001,0.73,44.4443,-100.2263
Tennessee,445,5737946,77,335,2001,5.84,35.85800000000001,-86.3505
Texas,952,21214801,89,434,2001,2.05,31.4757,-99.3312
Utah,58,1730700,20,65,2001,3.76,39.3055,-111.6703
Vermont,57,562536,11,17,2001,3.02,44.0687,-72.6658
Virginia,397,7147779,69,362,2001,5.06,37.5215,-78.8537
Washington,248,5913174,59,278,2001,4.7,47.3826,-120.4472
West Virginia,279,1756724,20,39,2001,2.22,38.6409,-80.6227
Wisconsin,359,5310699,24,61,2001,1.15,44.6243,-89.9941
Wyoming,35,317185,8,10,2001,3.15,42.9957,-107.5512
Alabama,31,259938,2,2,2002,0.77,32.7794,-86.8287
Alaska,1,267280,1,7,2002,2.62,64.0685,-152.2782
Arizona,88,5023657,29,238,2002,4.74,34.2744,-111.6602
Arkansas,7,387957,0,0,2002,0.0,34.8938,-92.4426
California,726,35056859,243,1648,2002,4.7,37.1841,-119.4696
Colorado,190,4251762,30,96,2002,2.26,38.9972,-105.5478
Connecticut,84,2838717,50,129,2002,4.54,41.6219,-72.7273
Delaware,50,806717,8,13,2002,1.61,38.9896,-75.505
District of Columbia,2,570898,2,14,2002,2.45,38.9101,-77.0147
Florida,489,16660424,93,257,2002,1.54,28.6305,-82.4497
Georgia,76,1558760,10,31,2002,1.99,32.6415,-83.4426
Idaho,117,1330416,14,43,2002,3.23,44.3509,-114.613
Illinois,59,4639084,46,155,2002,3.34,40.0417,-89.1965
Indiana,163,4476334,25,77,2002,1.72,39.8942,-86.2816
Iowa,221,2863046,18,46,2002,1.61,42.0751,-93.496
Kansas,339,2366821,13,55,2002,2.32,38.4937,-98.3804
Kentucky,341,3663360,38,76,2002,2.07,37.5347,-85.3021
Louisiana,159,3418556,13,15,2002,0.44,31.0689,-91.9968
Maine,180,1291128,14,36,2002,2.79,45.3695,-69.2428
Maryland,148,5458137,26,211,2002,3.87,39.055,-76.7909
Massachusetts,305,5822308,90,430,2002,7.39,42.2596,-71.8083
Michigan,619,9814593,164,416,2002,4.24,44.3467,-85.4102
Minnesota,279,4843609,71,203,2002,4.19,46.2807,-94.3053
Mississippi,66,942735,3,3,2002,0.32,32.7364,-89.6678
Missouri,144,2955399,19,64,2002,2.17,38.3566,-92.458
Montana,93,881473,6,13,2002,1.47,47.0527,-109.6333
Nebraska,203,1362661,17,74,2002,5.43,41.5378,-99.7951
Nevada,35,2173491,7,62,2002,2.85,39.3289,-116.6312
New Hampshire,107,654470,19,27,2002,4.13,43.6805,-71.5811
New Jersey,557,8590300,220,570,2002,6.64,40.1907,-74.6728
New Mexico,49,1180982,3,15,2002,1.27,34.4071,-106.1126
New York,505,19154571,63,693,2002,3.62,42.9538,-75.5268
North Carolina,446,8242488,29,62,2002,0.75,35.5557,-79.3877
North Dakota,74,562980,7,18,2002,3.2,47.4501,-100.4659
Ohio,400,8244818,63,263,2002,3.19,40.2862,-82.7937
Oklahoma,301,3493714,19,44,2002,1.26,35.5889,-97.4943
Oregon,172,3509432,24,61,2002,1.74,43.9336,-120.5583
Pennsylvania,849,11086040,26,92,2002,0.83,40.8781,-77.7996
Rhode Island,48,1069725,7,38,2002,3.55,41.6762,-71.5562
South Carolina,310,4103856,35,70,2002,1.71,33.9169,-80.8964
South Dakota,130,734731,4,4,2002,0.54,44.4443,-100.2263
Tennessee,443,5796102,54,129,2002,2.23,35.85800000000001,-86.3505
Texas,969,21698160,82,347,2002,1.6,31.4757,-99.3312
Utah,59,1790393,17,54,2002,3.02,39.3055,-111.6703
Vermont,57,565746,10,18,2002,3.18,44.0687,-72.6658
Virginia,399,7258150,54,291,2002,4.01,37.5215,-78.8537
Washington,246,6036923,47,174,2002,2.88,47.3826,-120.4472
West Virginia,336,1758307,16,41,2002,2.33,38.6409,-80.6227
Wisconsin,370,5438068,13,32,2002,0.59,44.6243,-89.9941
Wyoming,31,290607,4,5,2002,1.72,42.9957,-107.5512
Alabama,36,234120,1,1,2003,0.43,32.7794,-86.8287
Alaska,1,271085,1,13,2003,4.8,64.0685,-152.2782
Arizona,89,5411197,26,246,2003,4.55,34.2744,-111.6602
Arkansas,128,1166678,40,170,2003,14.57,34.8938,-92.4426
California,727,35484453,235,1472,2003,4.15,37.1841,-119.4696
Colorado,185,4153634,35,82,2003,1.97,38.9972,-105.5478
Connecticut,95,3165048,52,134,2003,4.23,41.6219,-72.7273
Delaware,53,817491,6,17,2003,2.08,38.9896,-75.505
District of Columbia,2,563384,2,31,2003,5.5,38.9101,-77.0147
Florida,489,16973420,86,231,2003,1.36,28.6305,-82.4497
Georgia,82,1617487,7,23,2003,1.42,32.6415,-83.4426
Idaho,119,1357404,12,20,2003,1.47,44.3509,-114.613
Illinois,73,5140241,61,208,2003,4.05,40.0417,-89.1965
Indiana,139,3086471,19,48,2003,1.56,39.8942,-86.2816
Iowa,221,2870482,27,38,2003,1.32,42.0751,-93.496
Kansas,341,2379824,19,49,2003,2.06,38.4937,-98.3804
Kentucky,435,3750474,42,81,2003,2.16,37.5347,-85.3021
Louisiana,140,3422474,7,7,2003,0.2,31.0689,-91.9968
Maine,149,1305728,25,77,2003,5.9,45.3695,-69.2428
Maryland,149,5508909,31,248,2003,4.5,39.055,-76.7909
Massachusetts,247,5208869,97,403,2003,7.74,42.2596,-71.8083
Michigan,610,8784731,162,427,2003,4.86,44.3467,-85.4102
Minnesota,327,5028715,60,215,2003,4.28,46.2807,-94.3053
Mississippi,57,825576,1,1,2003,0.12,32.7364,-89.6678
Missouri,183,2881465,21,54,2003,1.87,38.3566,-92.458
Montana,82,853039,5,5,2003,0.59,47.0527,-109.6333
Nebraska,202,1368604,16,46,2003,3.36,41.5378,-99.7951
Nevada,35,2241154,9,97,2003,4.33,39.3289,-116.6312
New Hampshire,125,832285,29,36,2003,4.33,43.6805,-71.5811
New Jersey,555,8638396,236,594,2003,6.88,40.1907,-74.6728
New Mexico,47,1161022,2,11,2003,0.95,34.4071,-106.1126
New York,520,19162447,61,602,2003,3.14,42.9538,-75.5268
North Carolina,461,8337322,22,77,2003,0.92,35.5557,-79.3877
North Dakota,65,549642,8,18,2003,3.27,47.4501,-100.4659
Ohio,387,8511723,64,231,2003,2.71,40.2862,-82.7937
Oklahoma,298,3511532,23,38,2003,1.08,35.5889,-97.4943
Oregon,1,545271,1,95,2003,17.42,43.9336,-120.5583
Pennsylvania,828,11043680,31,115,2003,1.04,40.8781,-77.7996
Rhode Island,48,1076164,10,45,2003,4.18,41.6762,-71.5562
South Carolina,419,4144591,33,54,2003,1.3,33.9169,-80.8964
South Dakota,114,503221,6,10,2003,1.99,44.4443,-100.2263
Tennessee,456,5841748,62,161,2003,2.76,35.85800000000001,-86.3505
Texas,983,22101481,84,294,2003,1.33,31.4757,-99.3312
Utah,57,1775428,21,59,2003,3.32,39.3055,-111.6703
Vermont,59,569065,11,27,2003,4.74,44.0687,-72.6658
Virginia,393,7312051,66,280,2003,3.83,37.5215,-78.8537
Washington,253,6071292,56,222,2003,3.66,47.3826,-120.4472
West Virginia,392,1712606,16,33,2003,1.93,38.6409,-80.6227
Wisconsin,16,1337978,16,31,2003,2.32,44.6243,-89.9941
Wyoming,36,294947,4,12,2003,4.07,42.9957,-107.5512
Alabama,51,527267,3,3,2004,0.57,32.7794,-86.8287
Alaska,1,273714,1,9,2004,3.29,64.0685,-152.2782
Arizona,82,5554597,19,224,2004,4.03,34.2744,-111.6602
Arkansas,192,1632735,50,93,2004,5.7,34.8938,-92.4426
California,725,35893799,245,1393,2004,3.88,37.1841,-119.4696
Colorado,205,4443685,26,59,2004,1.33,38.9972,-105.5478
Connecticut,100,3503604,49,116,2004,3.31,41.6219,-72.7273
Delaware,53,830364,11,33,2004,3.97,38.9896,-75.505
District of Columbia,2,553523,2,49,2004,8.85,38.9101,-77.0147
Florida,490,17351455,95,274,2004,1.58,28.6305,-82.4497
Georgia,77,1576482,7,29,2004,1.84,32.6415,-83.4426
Idaho,119,1392114,12,37,2004,2.66,44.3509,-114.613
Illinois,63,5088478,48,187,2004,3.67,40.0417,-89.1965
Indiana,137,3017102,13,63,2004,2.09,39.8942,-86.2816
Iowa,219,2905626,17,23,2004,0.79,42.0751,-93.496
Kansas,357,2109590,21,49,2004,2.32,38.4937,-98.3804
Kentucky,326,3709354,32,71,2004,1.91,37.5347,-85.3021
Louisiana,148,3499083,12,22,2004,0.63,31.0689,-91.9968
Maine,147,1317253,29,68,2004,5.16,45.3695,-69.2428
Maryland,150,5558058,32,245,2004,4.41,39.055,-76.7909
Massachusetts,301,5837059,90,346,2004,5.93,42.2596,-71.8083
Michigan,601,8995290,172,556,2004,6.18,44.3467,-85.4102
Minnesota,318,5083400,63,239,2004,4.7,46.2807,-94.3053
Mississippi,68,1012911,2,2,2004,0.2,32.7364,-89.6678
Missouri,259,3534443,29,71,2004,2.01,38.3566,-92.458
Montana,105,926865,25,56,2004,6.04,47.0527,-109.6333
Nebraska,207,1493580,15,62,2004,4.15,41.5378,-99.7951
Nevada,35,2334771,4,81,2004,3.47,39.3289,-116.6312
New Hampshire,140,935961,29,48,2004,5.13,43.6805,-71.5811
New Jersey,513,8698879,249,769,2004,8.84,40.1907,-74.6728
New Mexico,49,1172271,3,21,2004,1.79,34.4071,-106.1126
New York,520,19199225,42,386,2004,2.01,42.9538,-75.5268
North Carolina,418,8027181,35,66,2004,0.82,35.5557,-79.3877
North Dakota,69,560073,5,8,2004,1.43,47.4501,-100.4659
Ohio,410,8991851,74,353,2004,3.93,40.2862,-82.7937
Oklahoma,297,3523553,29,51,2004,1.45,35.5889,-97.4943
Oregon,170,3592045,23,155,2004,4.32,43.9336,-120.5583
Pennsylvania,857,11406091,34,105,2004,0.92,40.8781,-77.7996
Rhode Island,48,1080632,8,29,2004,2.68,41.6762,-71.5562
South Carolina,468,4196056,51,105,2004,2.5,33.9169,-80.8964
South Dakota,155,765756,6,7,2004,0.91,44.4443,-100.2263
Tennessee,453,5900962,68,136,2004,2.3,35.85800000000001,-86.3505
Texas,987,22466217,84,309,2004,1.38,31.4757,-99.3312
Utah,55,1840775,16,59,2004,3.21,39.3055,-111.6703
Vermont,74,602735,12,28,2004,4.65,44.0687,-72.6658
Virginia,395,7399760,68,307,2004,4.15,37.5215,-78.8537
Washington,253,6203788,51,175,2004,2.82,47.3826,-120.4472
West Virginia,431,1815354,12,31,2004,1.71,38.6409,-80.6227
Wisconsin,369,5509026,19,37,2004,0.67,44.6243,-89.9941
Wyoming,42,349046,4,4,2004,1.15,42.9957,-107.5512
Alabama,32,455247,0,0,2005,0.0,32.7794,-86.8287
Alaska,1,276109,1,4,2005,1.45,64.0685,-152.2782
Arizona,78,4202942,26,138,2005,3.28,34.2744,-111.6602
Arkansas,205,1703545,66,134,2005,7.87,34.8938,-92.4426
California,725,36132147,252,1379,2005,3.82,37.1841,-119.4696
Colorado,205,4517158,43,125,2005,2.77,38.9972,-105.5478
Connecticut,98,3428766,45,95,2005,2.77,41.6219,-72.7273
Delaware,53,843524,11,45,2005,5.33,38.9896,-75.505
District of Columbia,2,550521,2,48,2005,8.72,38.9101,-77.0147
Florida,492,17744135,95,231,2005,1.3,28.6305,-82.4497
Georgia,71,1925691,4,17,2005,0.88,32.6415,-83.4426
Idaho,106,1425914,16,33,2005,2.31,44.3509,-114.613
Illinois,66,5047250,50,168,2005,3.33,40.0417,-89.1965
Indiana,142,3933013,18,54,2005,1.37,39.8942,-86.2816
Iowa,225,2935183,19,37,2005,1.26,42.0751,-93.496
Kansas,349,2048283,35,72,2005,3.52,38.4937,-98.3804
Kentucky,321,3744693,22,44,2005,1.17,37.5347,-85.3021
Louisiana,133,3248124,10,17,2005,0.52,31.0689,-91.9968
Maine,147,1321505,27,57,2005,4.31,45.3695,-69.2428
Maryland,150,5600388,29,195,2005,3.48,39.055,-76.7909
Massachusetts,267,5665124,83,371,2005,6.55,42.2596,-71.8083
Michigan,597,9997261,166,640,2005,6.4,44.3467,-85.4102
Minnesota,302,4922821,55,206,2005,4.18,46.2807,-94.3053
Mississippi,67,866704,0,0,2005,0.0,32.7364,-89.6678
Missouri,278,3525724,25,78,2005,2.21,38.3566,-92.458
Montana,108,935422,25,65,2005,6.95,47.0527,-109.6333
Nebraska,194,1436768,11,71,2005,4.94,41.5378,-99.7951
Nevada,35,2414807,4,77,2005,3.19,39.3289,-116.6312
New Hampshire,140,1019459,23,32,2005,3.14,43.6805,-71.5811
New Jersey,513,8717925,216,738,2005,8.47,40.1907,-74.6728
New Mexico,48,1222522,3,18,2005,1.47,34.4071,-106.1126
New York,302,7869264,43,249,2005,3.16,42.9538,-75.5268
North Carolina,436,8457849,41,89,2005,1.05,35.5557,-79.3877
North Dakota,71,568522,8,12,2005,2.11,47.4501,-100.4659
Ohio,443,8702176,60,176,2005,2.02,40.2862,-82.7937
Oklahoma,297,3547884,33,41,2005,1.16,35.5889,-97.4943
Oregon,168,3636515,26,137,2005,3.77,43.9336,-120.5583
Pennsylvania,916,11564862,36,118,2005,1.02,40.8781,-77.7996
Rhode Island,48,1076189,10,15,2005,1.39,41.6762,-71.5562
South Carolina,446,4254373,50,98,2005,2.3,33.9169,-80.8964
South Dakota,95,533343,7,9,2005,1.69,44.4443,-100.2263
Tennessee,455,5962959,68,128,2005,2.15,35.85800000000001,-86.3505
Texas,997,22839807,79,264,2005,1.16,31.4757,-99.3312
Utah,112,2433318,14,44,2005,1.81,39.3055,-111.6703
Vermont,75,602314,17,32,2005,5.31,44.0687,-72.6658
Virginia,395,7517151,68,295,2005,3.92,37.5215,-78.8537
Washington,252,6281630,55,171,2005,2.72,47.3826,-120.4472
West Virginia,349,1679815,17,47,2005,2.8,38.6409,-80.6227
Wisconsin,359,5289551,20,46,2005,0.87,44.6243,-89.9941
