state,total_agencies,population,reporting_agencies,number_of_incidences,year,incidences_per_100K,lat,lon
Wisconsin,399,5669896,22,76,2011,1.34,44.6243,-89.9941
Wyoming,63,561000,2,2,2011,0.36,42.9957,-107.5512
Alabama,8,141235,1,6,2012,4.25,32.7794,-86.8287
Alaska,5,315266,1,6,2012,1.9,64.0685,-152.2782
Arizona,81,5974180,22,176,2012,2.95,34.2744,-111.6602
Arkansas,265,2748544,17,30,2012,1.09,34.8938,-92.4426
California,731,37933751,247,910,2012,2.4,37.1841,-119.4696
Colorado,227,5109141,50,189,2012,3.7,38.9972,-105.5478
Connecticut,101,3574937,48,149,2012,4.17,41.6219,-72.7273
Delaware,57,917092,5,10,2012,1.09,38.9896,-75.505
District of Columbia,2,632323,2,72,2012,11.39,38.9101,-77.0147
Florida,505,19224398,69,144,2012,0.75,28.6305,-82.4497
Georgia,513,7696372,5,21,2012,0.27,32.6415,-83.4426
Idaho,108,1595241,10,35,2012,2.19,44.3509,-114.613
Illinois,711,12297695,49,84,2012,0.68,40.0417,-89.1965
Indiana,112,2684625,8,37,2012,1.38,39.8942,-86.2816
Iowa,219,2935796,4,8,2012,0.27,42.0751,-93.496
Kansas,350,2258766,34,81,2012,3.59,38.4937,-98.3804
Kentucky,379,3653352,86,194,2012,5.31,37.5347,-85.3021
Louisiana,58,2213017,3,4,2012,0.18,31.0689,-91.9968
Maine,149,1329192,20,52,2012,3.91,45.3695,-69.2428
Maryland,154,5884563,16,35,2012,0.59,39.055,-76.7909
Massachusetts,304,5736749,76,157,2012,2.74,42.2596,-71.8083
Michigan,592,9666469,178,617,2012,6.38,44.3467,-85.4102
Minnesota,177,3834480,27,72,2012,1.88,46.2807,-94.3053
Mississippi,53,707165,3,18,2012,2.55,32.7364,-89.6678
Missouri,636,6019690,29,104,2012,1.73,38.3566,-92.458
Montana,99,995410,13,36,2012,3.62,47.0527,-109.6333
Nebraska,69,673815,5,9,2012,1.34,41.5378,-99.7951
Nevada,4,2195232,4,91,2012,4.15,39.3289,-116.6312
New Hampshire,152,1186056,21,29,2012,2.45,43.6805,-71.5811
New Mexico,31,223466,1,2,2012,0.89,34.4071,-106.1126
New York,548,19222847,73,715,2012,3.72,42.9538,-75.5268
North Carolina,523,9750451,44,119,2012,1.22,35.5557,-79.3877
North Dakota,96,689607,14,41,2012,5.95,47.4501,-100.4659
Ohio,594,9841632,104,257,2012,2.61,40.2862,-82.7937
Oklahoma,243,1363283,18,21,2012,1.54,35.5889,-97.4943
Oregon,72,2015920,24,52,2012,2.58,43.9336,-120.5583
Pennsylvania,1382,12635883,20,38,2012,0.3,40.8781,-77.7996
Rhode Island,47,1049246,7,12,2012,1.14,41.6762,-71.5562
South Carolina,398,4714086,68,148,2012,3.14,33.9169,-80.8964
South Dakota,113,756389,7,29,2012,3.83,44.4443,-100.2263
Tennessee,461,6456188,80,317,2012,4.91,35.85800000000001,-86.3505
Texas,65,3484920,20,52,2012,1.49,31.4757,-99.3312
Utah,128,2799874,36,102,2012,3.64,39.3055,-111.6703
Vermont,87,622979,6,12,2012,1.93,44.0687,-72.6658
Virginia,420,8185867,46,134,2012,1.64,37.5215,-78.8537
Washington,247,6890640,69,272,2012,3.95,47.3826,-120.4472
West Virginia,285,1733977,16,27,2012,1.56,38.6409,-80.6227
Wisconsin,400,5682618,22,68,2012,1.2,44.6243,-89.9941
Wyoming,59,555285,2,2,2012,0.36,42.9957,-107.5512
Alabama,48,1147612,4,6,2013,0.52,32.7794,-86.8287
Alaska,33,730950,1,8,2013,1.09,64.0685,-152.2782
Arizona,81,6358545,21,155,2013,2.44,34.2744,-111.6602
Arkansas,265,2809536,20,27,2013,0.96,34.8938,-92.4426
California,732,38324460,229,843,2013,2.2,37.1841,-119.4696
Colorado,226,5163276,48,128,2013,2.48,38.9972,-105.5478
Connecticut,98,3566367,48,145,2013,4.07,41.6219,-72.7273
Delaware,58,925749,11,12,2013,1.3,38.9896,-75.505
District of Columbia,2,646449,2,72,2013,11.14,38.9101,-77.0147
Florida,504,19455529,41,76,2013,0.39,28.6305,-82.4497
Georgia,499,7817674,7,57,2013,0.73,32.6415,-83.4426
Idaho,108,1611676,12,32,2013,1.99,44.3509,-114.613
Illinois,720,12269532,38,105,2013,0.86,40.0417,-89.1965
Indiana,134,4034953,15,75,2013,1.86,39.8942,-86.2816
Iowa,222,2958457,9,10,2013,0.34,42.0751,-93.496
Kansas,354,2665446,30,64,2013,2.4,38.4937,-98.3804
Kentucky,385,4334254,77,171,2013,3.95,37.5347,-85.3021
Louisiana,109,3237092,6,22,2013,0.68,31.0689,-91.9968
Maine,148,1328302,17,25,2013,1.88,45.3695,-69.2428
Maryland,154,5928814,20,51,2013,0.86,39.055,-76.7909
Massachusetts,330,6496451,78,350,2013,5.39,42.2596,-71.8083
Michigan,600,9733958,141,329,2013,3.38,44.3467,-85.4102
Minnesota,257,4904213,39,144,2013,2.94,46.2807,-94.3053
Mississippi,90,1497332,2,4,2013,0.27,32.7364,-89.6678
Missouri,621,6040074,20,102,2013,1.69,38.3566,-92.458
Montana,98,1000016,12,31,2013,3.1,47.0527,-109.6333
Nebraska,182,1511235,10,36,2013,2.38,41.5378,-99.7951
Nevada,5,2229342,5,73,2013,3.27,39.3289,-116.6312
New Hampshire,151,1178087,16,21,2013,1.78,43.6805,-71.5811
New Jersey,508,8898292,140,414,2013,4.65,40.1907,-74.6728
New Mexico,23,888880,3,12,2013,1.35,34.4071,-106.1126
New York,566,19515678,85,615,2013,3.15,42.9538,-75.5268
North Carolina,522,9845983,48,118,2013,1.2,35.5557,-79.3877
North Dakota,105,722021,19,51,2013,7.06,47.4501,-100.4659
Ohio,644,10376248,111,370,2013,3.57,40.2862,-82.7937
Oklahoma,328,3850568,25,41,2013,1.06,35.5889,-97.4943
Oregon,76,2301273,18,66,2013,2.87,43.9336,-120.5583
Pennsylvania,1375,12657821,20,64,2013,0.51,40.8781,-77.7996
Rhode Island,48,1051511,7,7,2013,0.67,41.6762,-71.5562
South Carolina,418,4761406,39,51,2013,1.07,33.9169,-80.8964
South Dakota,113,767653,8,13,2013,1.69,44.4443,-100.2263
Tennessee,466,6495978,56,196,2013,3.02,35.85800000000001,-86.3505
Texas,1000,26304575,50,132,2013,0.5,31.4757,-99.3312
Utah,131,2883607,35,75,2013,2.6,39.3055,-111.6703
Vermont,88,623447,10,12,2013,1.92,44.0687,-72.6658
Virginia,416,8258337,54,119,2013,1.44,37.5215,-78.8537
Washington,244,6967181,80,291,2013,4.18,47.3826,-120.4472
West Virginia,263,1670269,17,56,2013,3.35,38.6409,-80.6227
Wisconsin,402,5691976,21,50,2013,0.88,44.6243,-89.9941
Wyoming,63,577987,1,1,2013,0.17,42.9957,-107.5512
Alabama,39,794907,4,9,2014,1.13,32.7794,-86.8287
Alaska,33,732371,1,6,2014,0.82,64.0685,-152.2782
Arizona,99,6433584,22,265,2014,4.12,34.2744,-111.6602
Arkansas,270,2661818,5,8,2014,0.3,34.8938,-92.4426
California,743,38802500,208,759,2014,1.96,37.1841,-119.4696
Colorado,231,5268592,40,96,2014,1.82,38.9972,-105.5478
Connecticut,95,3375662,54,123,2014,3.64,41.6219,-72.7273
Delaware,60,935614,9,13,2014,1.39,38.9896,-75.505
District of Columbia,2,658893,2,70,2014,10.62,38.9101,-77.0147
Florida,505,19794279,37,65,2014,0.33,28.6305,-82.4497
Georgia,479,8204655,4,41,2014,0.5,32.6415,-83.4426
Idaho,112,1634011,10,25,2014,1.53,44.3509,-114.613
Illinois,693,12029618,48,109,2014,0.91,40.0417,-89.1965
Indiana,348,6093574,15,50,2014,0.82,39.8942,-86.2816
Iowa,221,2974604,10,11,2014,0.37,42.0751,-93.496
Kansas,359,2843179,37,73,2014,2.57,38.4937,-98.3804
Kentucky,399,4386536,84,163,2014,3.72,37.5347,-85.3021
Louisiana,86,2706155,6,9,2014,0.33,31.0689,-91.9968
Maine,184,1330089,15,28,2014,2.11,45.3695,-69.2428
Maryland,154,5976407,9,16,2014,0.27,39.055,-76.7909
Massachusetts,315,6485973,90,375,2014,5.78,42.2596,-71.8083
Michigan,607,9732430,119,311,2014,3.2,44.3467,-85.4102
Minnesota,292,5287138,27,98,2014,1.85,46.2807,-94.3053
Mississippi,75,1349655,1,1,2014,0.07,32.7364,-89.6678
Missouri,630,6061406,25,76,2014,1.25,38.3566,-92.458
Montana,98,992702,12,30,2014,3.02,47.0527,-109.6333
Nebraska,216,1763318,7,47,2014,2.67,41.5378,-99.7951
Nevada,51,2834483,4,24,2014,0.85,39.3289,-116.6312
New Hampshire,158,1238190,11,14,2014,1.13,43.6805,-71.5811
New Jersey,509,8936591,126,336,2014,3.76,40.1907,-74.6728
New Mexico,7,717010,3,13,2014,1.81,34.4071,-106.1126
New York,572,19652379,59,545,2014,2.77,42.9538,-75.5268
North Carolina,524,9942854,40,140,2014,1.41,35.5557,-79.3877
North Dakota,111,738176,16,40,2014,5.42,47.4501,-100.4659
Ohio,606,9711237,105,403,2014,4.15,40.2862,-82.7937
Oklahoma,333,3878051,18,33,2014,0.85,35.5889,-97.4943
Oregon,92,1526458,15,26,2014,1.7,43.9336,-120.5583
Pennsylvania,1457,12587318,22,50,2014,0.4,40.8781,-77.7996
Rhode Island,48,1054130,4,4,2014,0.38,41.6762,-71.5562
South Carolina,430,4813088,32,49,2014,1.02,33.9169,-80.8964
South Dakota,121,776484,12,18,2014,2.32,44.4443,-100.2263
Tennessee,465,6519911,53,194,2014,2.98,35.85800000000001,-86.3505
Texas,1033,26922758,57,145,2014,0.54,31.4757,-99.3312
Utah,134,2926391,23,50,2014,1.71,39.3055,-111.6703
Vermont,91,626306,10,15,2014,2.39,44.0687,-72.6658
Virginia,414,8324943,50,118,2014,1.42,37.5215,-78.8537
Washington,262,7051748,67,308,2014,4.37,47.3826,-120.4472
West Virginia,269,1648198,16,26,2014,1.58,38.6409,-80.6227
Wisconsin,397,5610210,22,51,2014,0.91,44.6243,-89.9941
Wyoming,63,579446,0,0,2014,0.0,42.9957,-107.5512
Alabama,34,1252146,3,10,2015,0.8,32.7794,-86.8287
Alaska,33,734820,4,8,2015,1.09,64.0685,-152.2782
Arizona,101,6622880,21,276,2015,4.17,34.2744,-111.6602
Arkansas,279,2754543,4,5,2015,0.18,34.8938,-92.4426
California,730,39137326,213,837,2015,2.14,37.1841,-119.4696
Colorado,234,5445853,42,107,2015,1.96,38.9972,-105.5478
Connecticut,95,3399068,44,93,2015,2.74,41.6219,-72.7273
Delaware,60,945934,7,11,2015,1.16,38.9896,-75.505
District of Columbia,2,672228,2,65,2015,9.67,38.9101,-77.0147
Florida,38,5356877,36,72,2015,1.34,28.6305,-82.4497
Georgia,473,7991234,7,44,2015,0.55,32.6415,-83.4426
Idaho,112,1654475,19,34,2015,2.06,44.3509,-114.613
Illinois,741,12501008,43,90,2015,0.72,40.0417,-89.1965
Indiana,168,3224755,18,63,2015,1.95,39.8942,-86.2816
Iowa,237,3105094,5,6,2015,0.19,42.0751,-93.496
Kansas,345,2741323,34,62,2015,2.26,38.4937,-98.3804
Kentucky,403,4402368,83,188,2015,4.27,37.5347,-85.3021
Louisiana,148,3711824,15,38,2015,1.02,31.0689,-91.9968
Maine,184,1329328,14,38,2015,2.86,45.3695,-69.2428
Maryland,154,6006401,11,41,2015,0.68,39.055,-76.7909
Massachusetts,342,6566279,85,411,2015,6.26,42.2596,-71.8083
Michigan,617,9834270,127,309,2015,3.14,44.3467,-85.4102
Minnesota,319,5218435,27,109,2015,2.09,46.2807,-94.3053
Mississippi,43,763830,0,0,2015,0.0,32.7364,-89.6678
Missouri,628,6079483,28,100,2015,1.64,38.3566,-92.458
Montana,101,1023807,13,45,2015,4.4,47.0527,-109.6333
Nebraska,227,1821196,3,19,2015,1.04,41.5378,-99.7951
Nevada,53,2890845,6,58,2015,2.01,39.3289,-116.6312
New Hampshire,168,1267715,9,13,2015,1.03,43.6805,-71.5811
New Jersey,508,8956395,123,330,2015,3.68,40.1907,-74.6728
New Mexico,18,574972,2,13,2015,2.26,34.4071,-106.1126
New York,575,19766342,60,500,2015,2.53,42.9538,-75.5268
North Carolina,532,10041690,52,161,2015,1.6,35.5557,-79.3877
North Dakota,112,756927,19,36,2015,4.76,47.4501,-100.4659
Ohio,595,9781677,109,416,2015,4.25,40.2862,-82.7937
Oklahoma,351,3896985,29,37,2015,0.95,35.5889,-97.4943
Oregon,130,1671416,16,65,2015,3.89,43.9336,-120.5583
Pennsylvania,1436,12550581,26,64,2015,0.51,40.8781,-77.7996
Rhode Island,49,1056298,8,18,2015,1.7,41.6762,-71.5562
South Carolina,436,4826241,40,55,2015,1.14,33.9169,-80.8964
South Dakota,121,782152,9,16,2015,2.05,44.4443,-100.2263
Tennessee,463,6600299,61,221,2015,3.35,35.85800000000001,-86.3505
Texas,1026,27390337,62,191,2015,0.7,31.4757,-99.3312
Utah,133,2966781,22,47,2015,1.58,39.3055,-111.6703
Vermont,90,626042,5,8,2015,1.28,44.0687,-72.6658
Virginia,414,8380278,58,158,2015,1.89,37.5215,-78.8537
Washington,256,7163444,79,275,2015,3.84,47.3826,-120.4472
West Virginia,229,1494503,12,41,2015,2.74,38.6409,-80.6227
Wisconsin,395,5580752,25,43,2015,0.77,44.6243,-89.9941
Wyoming,57,564577,1,2,2015,0.35,42.9957,-107.5512
Alabama,28,1013839,4,14,2016,1.38,32.7794,-86.8287
Alaska,32,738566,3,11,2016,1.49,64.0685,-152.2782
Arizona,85,6361910,18,213,2016,3.35,34.2744,-111.6602
Arkansas,288,2853645,5,12,2016,0.42,34.8938,-92.4426
California,733,39242633,213,931,2016,2.37,37.1841,-119.4696
Colorado,229,5519770,37,104,2016,1.88,38.9972,-105.5478
Connecticut,106,3576452,42,106,2016,2.96,41.6219,-72.7273
Delaware,63,952065,8,15,2016,1.58,38.9896,-75.505
District of Columbia,2,681170,2,115,2016,16.88,38.9101,-77.0147
Florida,46,8988095,44,96,2016,1.07,28.6305,-82.4497
Georgia,493,8216137,6,39,2016,0.47,32.6415,-83.4426
Idaho,111,1683140,14,27,2016,1.6,44.3509,-114.613
Illinois,738,12373460,42,111,2016,0.9,40.0417,-89.1965
Indiana,164,2874580,24,78,2016,2.71,39.8942,-86.2816
Iowa,241,3113786,12,17,2016,0.55,42.0751,-93.496
Kansas,343,2591338,30,49,2016,1.89,38.4937,-98.3804
Kentucky,405,4427530,79,206,2016,4.65,37.5347,-85.3021
Louisiana,139,3560451,10,26,2016,0.73,31.0689,-91.9968
Maine,199,1331479,14,40,2016,3.0,45.3695,-69.2428
Maryland,154,6016447,10,37,2016,0.61,39.055,-76.7909
Massachusetts,351,6637616,84,391,2016,5.89,42.2596,-71.8083
Michigan,625,9847710,166,399,2016,4.05,44.3467,-85.4102
Minnesota,331,5178985,34,119,2016,2.3,46.2807,-94.3053
Mississippi,26,585454,4,7,2016,1.2,32.7364,-89.6678
Missouri,612,6089857,24,88,2016,1.45,38.3566,-92.458
Montana,109,1042048,10,20,2016,1.92,47.0527,-109.6333
Nebraska,235,1846626,7,31,2016,1.68,41.5378,-99.7951
Nevada,51,2940058,4,41,2016,1.39,39.3289,-116.6312
New Hampshire,174,1275170,19,28,2016,2.2,43.6805,-71.5811
New Jersey,507,8942857,117,282,2016,3.15,40.1907,-74.6728
New Mexico,18,576958,2,26,2016,4.51,34.4071,-106.1126
New York,584,19738790,72,595,2016,3.01,42.9538,-75.5268
North Carolina,528,10145637,41,148,2016,1.46,35.5557,-79.3877
North Dakota,108,757493,6,8,2016,1.06,47.4501,-100.4659
Ohio,562,9573452,115,442,2016,4.62,40.2862,-82.7937
Oklahoma,355,3869095,22,33,2016,0.85,35.5889,-97.4943
Oregon,170,3547910,28,104,2016,2.93,43.9336,-120.5583
Pennsylvania,1463,12644372,20,61,2016,0.48,40.8781,-77.7996
Rhode Island,49,1056426,10,12,2016,1.14,41.6762,-71.5562
South Carolina,440,4936962,21,23,2016,0.47,33.9169,-80.8964
South Dakota,112,787337,12,18,2016,2.29,44.4443,-100.2263
Tennessee,463,6651194,55,142,2016,2.13,35.85800000000001,-86.3505
Texas,1097,27862596,66,178,2016,0.64,31.4757,-99.3312
Utah,130,3014190,32,66,2016,2.19,39.3055,-111.6703
Vermont,90,624594,15,25,2016,4.0,44.0687,-72.6658
Virginia,419,8411424,55,122,2016,1.45,37.5215,-78.8537
Washington,253,7282106,80,387,2016,5.31,47.3826,-120.4472
West Virginia,324,1621366,19,41,2016,2.53,38.6409,-80.6227
Wisconsin,414,5652781,18,34,2016,0.6,44.6243,-89.9941
Wyoming,55,556446,1,3,2016,0.54,42.9957,-107.5512
Alabama,334,2918324,3,9,2017,0.31,32.7794,-86.8287
Alaska,32,736205,3,4,2017,0.54,64.0685,-152.2782
Arizona,87,6755795,20,264,2017,3.91,34.2744,-111.6602
Arkansas,292,2836240,4,7,2017,0.25,34.8938,-92.4426
California,730,39529144,232,1094,2017,2.77,37.1841,-119.4696
Colorado,221,5575629,43,106,2017,1.9,38.9972,-105.5478
Connecticut,107,3588184,44,111,2017,3.09,41.6219,-72.7273
Delaware,63,961939,11,29,2017,3.01,38.9896,-75.505
District of Columbia,2,693972,2,193,2017,27.81,38.9101,-77.0147
Florida,654,20515334,67,145,2017,0.71,28.6305,-82.4497
Georgia,509,8948013,8,27,2017,0.3,32.6415,-83.4426
Idaho,106,1699259,21,53,2017,3.12,44.3509,-114.613
Illinois,741,12270234,32,82,2017,0.67,40.0417,-89.1965
Indiana,162,2287298,21,55,2017,2.4,39.8942,-86.2816
Iowa,240,3104739,8,11,2017,0.35,42.0751,-93.496
Kansas,364,2620785,38,75,2017,2.86,38.4937,-98.3804
Kentucky,409,4444239,132,378,2017,8.51,37.5347,-85.3021
Louisiana,145,3764930,15,26,2017,0.69,31.0689,-91.9968
Maine,132,1335907,10,32,2017,2.4,45.3695,-69.2428
Maryland,154,6052177,18,48,2017,0.79,39.055,-76.7909
Massachusetts,360,6703220,102,427,2017,6.37,42.2596,-71.8083
Michigan,624,9928921,177,456,2017,4.59,44.3467,-85.4102
Minnesota,353,5508515,42,146,2017,2.65,46.2807,-94.3053
Mississippi,28,682046,1,1,2017,0.15,32.7364,-89.6678
Missouri,610,6109596,32,105,2017,1.72,38.3566,-92.458
Montana,110,1050005,11,15,2017,1.43,47.0527,-109.6333
Nebraska,238,1865845,9,45,2017,2.41,41.5378,-99.7951
Nevada,51,2998039,3,5,2017,0.17,39.3289,-116.6312
New Hampshire,177,1295556,13,13,2017,1.0,43.6805,-71.5811
New Jersey,518,9005644,155,495,2017,5.5,40.1907,-74.6728
New Mexico,17,561375,1,7,2017,1.25,34.4071,-106.1126
New York,567,19685625,74,552,2017,2.8,42.9538,-75.5268
North Carolina,527,10271767,44,166,2017,1.62,35.5557,-79.3877
North Dakota,110,754604,8,15,2017,1.99,47.4501,-100.4659
Ohio,572,9703884,137,380,2017,3.92,40.2862,-82.7937
Oklahoma,412,3916111,27,37,2017,0.94,35.5889,-97.4943
Oregon,214,3902529,29,146,2017,3.74,43.9336,-120.5583
Pennsylvania,1488,12730580,23,78,2017,0.61,40.8781,-77.7996
Rhode Island,49,1059639,4,11,2017,1.04,41.6762,-71.5562
South Carolina,438,4996532,46,87,2017,1.74,33.9169,-80.8964
South Dakota,116,799083,10,17,2017,2.13,44.4443,-100.2263
Tennessee,466,6715984,57,136,2017,2.03,35.85800000000001,-86.3505
Texas,1009,28096894,75,190,2017,0.68,31.4757,-99.3312
Utah,126,3056326,27,78,2017,2.55,39.3055,-111.6703
Vermont,90,623657,17,34,2017,5.45,44.0687,-72.6658
Virginia,413,8467744,65,193,2017,2.28,37.5215,-78.8537
Washington,243,7396166,72,510,2017,6.9,47.3826,-120.4472
West Virginia,245,1591058,20,31,2017,1.95,38.6409,-80.6227
Wisconsin,437,5767235,24,46,2017,0.8,44.6243,-89.9941
Wyoming,57,553149,3,4,2017,0.72,42.9957,-107.5512
